id,name,comment,rating,review_date
1,Rosalía Val,"fui con un amigo y la verdad es que el gimnasio está genial. es súper grande, con muchísimas máquinas, sobre todo de cardio. todo está muy bien distribuido. además, tiene una terraza en la parte de arriba que es enorme y muy guay, donde también puedes entrenar al aire libre. en general, un gimnasio amplio, bien equipado y bastante chulo. muy buena experiencia!",4,Hace 6 meses
2,Vero MC,"la comida estaba riquísima, muy bien cocina y todo al momento. no dejéis de probar el pad thai. el local es pequeño aunque luego vimos que tenía una planta baja. de precio, pues no es barato la verdad. el servicio agradable. hay un parking muy cerca",5,Hace 3 meses
3,Diego Lázaro,"he probado muchos gimnasios tanto en madrid como barcelona y debo decir que este es uno de los mejores, sino el mejor. tienes absolutamente de todo, es un gimnasio muy grande y aunque haya mucha gente, la verdad que no se nota demasiado. muy bien organizado y estructurado, diferentes espacios, en función de lo que quieras de lo que no puedo hablar es de los monitores, ya que siempre fui a entrenar por libre. pero da la sensación de que hay buen ambiente.",5,Hace 2 meses
4,Nnn,"es caro (muy caro) pero al menos pagas unas calidades. las máquinas son espectaculares (a especial mención de la zona de glúteo nueva), todo está limpio, y se respira ambiente de entreno. se paga con gusto cuando recibes un gimnasio como este.",5,Hace 3 semanas
5,Juankr Sansal,"club difícil de encontrar. si vas en coche, solamente lo puedes dejar en el aparcamiento de la estación de chamartin con el coste añadido (7,40€ dos horas) que ello conlleva. no aparece indicación alguna del club e incluso dentro del club no hay indicaciones para llevarte a las pistas. son de muro, sin cubierta y en lo alto del edificio. hay fuente de agua y duchas exteriores. no recomendable por el gasto del parking",1,Fecha de edición: Hace un mes
6,El Club de Los Panas,"el gimnasio es súper completo , buenas máquinas y raro es que tengas que compartir, zona de cardio enorme y muchas clases colectivas con profesores de nivel la azotea tiene máquinas para entrenar viendo madrid y solárium y si un día el gym contase con piscina descubierta para socios sería simplemente perfecto.",5,Hace 3 meses
7,Jose Antonio Garcia,"yoofit boutique gym experience. chamartin. madrid. un nombre y concepto que agrupa en sus 8300 mts2 y capacidad de 600 personas en busca de la conquista de más salud, inversión del tiempo libre y atención profesional. estos tres concepto se reparten en zonas de cardíos, pesos libres, pista de squash y pádel, spa, solárium, pulse fullboxing, fullpilates, zona wellness, crossfit, entrenamiento trx, indoor cycling, salón de belleza y barbería con estilistas y cafetería. este macroclubs deportivo conjuga en todas sus áreas luces y una decoración modernista y tecnológica para la relajación y tranquilidad espiritual para tu labor deportiva. hay parqueo y entrada a minusvalidos. la atención es muy profesional del equipo técnico y empleados",5,Hace 4 años
8,Iván Gonzalo Martínez,"compendio de diferentes espacios de entrenamiento, para los que sacarles el mejor partido, recomiendo el poder contar con el asesoramiento del equipo de entrenadores personales que tienen. ambiente muy variado, con espacios interiores y exteriores. recomendable.",5,Hace 3 años
9,Osliany Gomez,"excelente gym boutique donde encuentras todo lo que buscas. tienes salas especializadas en cardio individuales al igual que las de piernas, pesas. cuentas con peluquería, salón de yoga, spa y mucho más. de los mejores de madrid.",5,Hace 3 años
10,JOSE SUAREZ ALVAREZ,"un gran centro deportivo en la estación de chamartin que cuenta con muy buena comunicación y aparcamiento, una gran instalación que cuenta con la última tecnología en maquinaria y diferentes boutiques que es lo que marca la diferencia. crossfit, yoga, ciclo, boxeo, flamenco,etc. instalaciones y trato de 10.",5,Hace 3 años
11,LA LOLA,"esta reseña es solamente desde mi experiencia, en concreto las pistas de pádel del ático. el estado es lamentable: la moqueta no llega a la pared, tiene bultos y unas arrugas exageradas ( adjunto fotografías) , impracticable el pádel en estas pistas. como he dicho, es una opinión muy sesgada y en un ámbito particular, el resto de las instalaciones, al menos en el recorrido hacia las pistas , tienen muy buena pinta, pero mi experiencia particular ha sido muy mala",2,Hace 2 años
12,Daniel clavero,"gimnasio espectacular con muy buenas instalaciones, los coach te ayudan en lo que necesites, especialmente álvaro, que cuando empecé le pedí que me hiciera una rutina y enseñara hacer los ejercicios, y desde entonces siempre me pregunta si necesito ayuda con algo, también he visto que se preocupa bastante por la salud de los clientes, no es el típico que te saluda y listo. es muy profesional y se nota que le gusta lo que hace.",5,Hace 8 meses
13,Mónica Teran,"bueno el sitio muy bien ubicado, existe una promoción hay que dejar el coche en el aparcamiento 2 y son 2 euros por dos horas, gisela bellísima y encantadora todo bien, lo que no me gusto fue que para mi gusto le faltó un poquito de límpieza espero que en mi próxima visita le. pueda poner un 5 estrellas",4,Hace 6 años
14,Javier Achútegui,"genial la clase de yoopower con álvaro. perfecto equilibrio entre ejercicio aeróbico, de fuerza y de resistencia de alta intensidad. y son clases muy divertidas llenas de buen rollo. sería ideal contar con un espacio mayor, teniendo en cuenta el éxito que tiene.",5,Hace 6 meses
15,Lara Santos Torres,"fui a una clase de spining solidaria que organizó la fundación 8 tumbao, de clara lago y dani rovira. el gimnasio es muy grande, nuevo, con muchas instalaciones(peluquerías, tiendas de complementos de nutrición, etc). me tuvieron que acompañar a los vestuarios porque es tan grande que te pierdes",5,Hace 2 años
16,Marin Krasenov,"muy buen ambiente , excelente entrenadores y buena experiencia en cada entreno",5,Hace un mes
17,Karen lopez,"todo el equipo de yoofit de 10"" los monitores, la recepcionista de la mañana todos y un 11"" para álvaro, sus clases son geniales, se nota cuando la gente hace lo que le gusta.",5,Hace 4 meses
18,Diana Uña,"muy bien, es un gimnasio enorme, tienes de todo, los monitores son muy agradables y todos están dispuestos a echarte una mano.",5,Hace 2 años
19,Andrés González,"un gimnasio top . muy muy recomendable, instalaciones muy cuidadas.",5,Hace un mes
20,Madalina Ciotir,"muy buen gimnasio. las instalaciones están limpias, bien cuidadas y con todo el equipamiento necesario tanto para fuerza como para cardio. hay buen ambiente, no está excesivamente lleno y el personal es amable y profesional. se nota que hay organización y que se preocupan por mantenerlo en buen estado. muy buena opción si buscas un sitio serio para entrenar a gusto.",5,Fecha de edición: Hace 6 meses
21,Alejandro Ortiz,"el gimnasio es impresionante, muy grande y equipado con muchas disciplinas. particularmente asistí a un par de clases de padel y el instructor fue muy amable. las pistas aunque se ve que tienen mucho tiempo están muy conservadas para estar en el techo.",4,Hace un año
22,Julio Echenique,"viniendo a este gimnasio desde que es yoofit. el año pasado han abierto una clase boutique de entrenamientos de alta intensidad, 666 que integra el entrenamiento con la música, las luces y el seguimiento de tus indicadores biométricos en tiempo real. las clases cuenta con muy buenos coaches (ana, álvaro, abel, david … ) que además de eficaces las hacen muy entretenidas. está creciendo tanto que seguramente pronto también tendremos un turno a primera hora de la mañana así me voy al trabajo con los deberes hechos.",5,Hace 8 meses
23,valquiria escobar luna,"me gusta mucho este gimnasio, lo único que entre semana abre hasta las 22:00 y el fin de semana hasta las 16:00 …",3,Hace 5 meses
