id,name,comment,rating,review_date
1,Rienzi Garberoglio,attrezzatura tra le migliori della panatta. molta scelta. gli spazi sono un po' esigui. anche negli orari di punta ci si riesce ad allenare. spogliatoi ampi. lo staff è disponibile e cordiale.,4,Hace un mes
2,G C,"palestra top a ferrara sia per bodybuilding che corpo libero. personalmente per il bodybuilding ho trovato tutto quello che mi serviva. attrezzatura panatta con pressa 45, hack squat, pendulum, per niente facili da trovare nelle altre palestre della zona. personale super accogliente e cordiale.",5,Fecha de edición: Hace 5 meses
3,Andrea Calò,"sono ritornato ad allenarmi dopo sei anni di stop undici mesi fa, uno dei tanti motivi che ho smesso di allenarmi è stato l’ambiente dove mi trovavo (la palestra precedente dove stavo prima). era pieno di anziani che ti rompevano le scatole per ogni cosa tipo: quando facevi gli stacchi da terra si lamentavano del bilanciere che sbatteva per terra per via del rumore, non potevi farti foto o video mentre ti allenavi e non andavo d’accordo quasi con nessuno. e invece qua, quasi un’anno che la frequento nessuno si lamenta se ogni tanto mi faccio dei video, c’è una sala apposta per il powerlifiting e sopratutto è pieno di ragazzi della mia e età più giovani che ti danno la motivazione solamente a vederli allenare a dare di più ad ogni allenamento, e ho fatto amicizia con molti di loro e sopratutto nessuno ti giudica (e dove stavo io ti giudicavano per ogni cosa che facevano). se sei un ragazzo giovane te la consiglio come palestra perché si sta veramente bene, è come stare a casa tua! :d",5,Hace 3 meses
4,Leonardo Sorrentino,"esperienza ottima, palestra pulita e ragazzi super disponibili",5,Hace una semana
5,Angela Fornaciari,"personale fantastico, esperienza fantastica, soprattutto il coach cacco è il n1",5,Hace una semana
6,Monia Borghi,"una palestra scoperta da poco ci sono due sale piene di macchine molto belle, e poi ce n'è una terza dove fai corpo libero, sono tutti disponibili e molto gentili!! top",5,Hace 2 años
7,Wasif Joestar,"ottimi macchinari, spaziosa e praticamente full panatta, peccato per l’igiene davvero scarsa degli spogliatoi e bagni ma anche della palestra in generale e location abbastanza brutta per via degli scarti delle fabbriche intorno.",2,Hace 7 meses
8,Francesco D'Angelo,"palestra davvero ottima! il personale è giovane, competente e disponibile. gli spazi sono ben strutturati e attrezzati con macchinari all'avanguardia. gli spogliatoio sono molto puliti. consigliata",5,Fecha de edición: Hace 6 meses
9,Alessia Roberta Santangelo,"da quando sono a ferrara frequento questa palestra. devo dire che la palestra é nuova e ben attrezzata. i personal trainer di sala sono abbastanza preparati. i personal trainer delle lezioni invece sono molto competenti. con l'abbonamento annuale si può usufruire sia della sede di occhiobello che di quella di ferrara. in estate il clima é torrido, fa veramente caldissimo e bisogna esortare per accendere il clima. preferirei che fosse piu fresco. per il resto sono soddisfatta.",5,Hace un año
10,Federico Biondi,"una palestra che ha tutti i tipi di macchinari, e’ aperta 24 ore al giorno 7 giorni su 7. i ragazzi della reception sono simpatici e ti aiutano in tutti i dubbi che hai. vivo all’estero e vengo in italia solo per vacanze e sarebbe bello che creassero ‘pacchetti’ per turisti diciamo dove puoi comprare varie entrate ad un prezzo unico perché 10€ ogni volta per allenarti diventa un po’ alto come prezzo. l’aria condizionata in agosto non si sente come si dovrebbe sentire, arriva bene solo in certi punti della palestra, per il resto la palestra è veramente top. edit: hanno aumentato il prezzo a 16€ a entrata a distanza 4 mesi, lo ritengo troppo costoso, queste vacanze mi volevo allenare ma alla fine ho fatto solo 1 allenamento. conviene allenarsi qua solo con gli abbonamenti che offrono. peccato!",3,Fecha de edición: Hace 10 meses
11,fabrizio mereu,"bellissima palestra ,reception molto gentili sono stato a mezzanotte fino alle 02 ,grandi attrezzi panatta…..molto competitiva",5,Hace un año
12,Elisa Masotti,"io e mio marito abbiamo iniziato a frequentare questa palestra per il corso di ballo country line dance. posso però affermare che la palestra è molto grande, ben dotata di ogni attrezzatura necessaria e ben organizzata.",5,Hace un año
13,Davide O.,"palestra ben attrezzata ,pulita , staff gentile e disponibile,a volte dipende dagli orari un po affollata non essendo spaziosa ma si fa..... non do 5 stelle solo per incentivare la mancanza di accuratezza negli spogliatoi,doccie da svecchiare !",4,Hace un año
14,Ruggero Torre,palestra abbastanza grande e pulita ma con prezzi esagerati (16€ per un allenamento occasionale dato che non sono del posto) alcuni macchinari sono datati così come i dischi non consiglio,1,Hace 9 meses
15,Pietro Massari,"punto forte della palestra, la pulizia ! le operatrici sono esternamente professionali ,meticolose e cordiali ....per quanto riguarda la palestra nella norma .il personale potrebbe avere modi più gentili.credo non sia il mio ambiente.",1,Hace un año
16,Giovanni Poluzzi,"giulia dalla reception poco competente e cortese, mi scrive che l'abbonamento sarebbe scaduto il 31 alche vado in palestra( dall'altra parte della città) per allenarmi, entro e mi viene detto che si era sbagliata, che l'abbonamento scadeva il giorno prima e non mi fa allenare, così facendo spreco tutta la mattinata, gradirei più precisione sulle informazioni e empatia per chi non abita vicino alla struttura",1,Hace 10 meses
17,MDC,la miglior palestra di ferrara attrezzatura e istruttori all’altezza di ogni tipo di allenamento e risultato!! consigliato al 100%,5,Hace un año
18,Giacomo Verri,"rinnovata e ampliata di recente, personale cortese e disponibile. l'apertura h24 è una bella comodità, e la presenza di personale qualificato in orari standard fa si che tutti possano trovare il modo giusto di allenarsi, dal novizio al pro. per rapporto costo/offerta è una delle migliori di ferrara. la prima prova è gratuita... ma probabilmente dalla seconda hai già un abbonamento ;) unica pecca? a seconda della sensibilità personale e dagli orari la palestra può risultare troppo affollata... rendendo un allenamento serio quasi impossibile.",4,Hace 2 años
19,Nazzarenoyy67p0 Pollastrini,veramente uno spettacolo.....personale gentile e attrezzatura panatta....veramente il top per chi si vuole allenare e cerca una palestra pulita efficente e grande ......complimenti,5,Hace 9 meses
20,Marina Moretti,"palestra piuttosto grande come ambienti. è attrezzata con tantissimi attrezzi e ha lo spazio per esercizi a corpo libero. personale di sala gentile e abbastanza preparato. non possiede personal trainer gratuiti ma bisogna pagarne uno per farsi fare la scheda, ma chi sa gia fare e/o ha gia una scheda sua questa è la palestra giusta. in orari di punta la palestra è pienissima, quasi impossibile fare esercizi come da scheda ma se uno viene in orari meno frequentati fa tutto benissimo e in tranquillità. palestra h24 7 su 7, perciò è sempre aperta con accesso in orari fuori ufficio con una ""tessera"" personalizzata. costo mensile/annuale nella norma per una palestra senza personal trainer che ti seguono. €150 semestrali, €300 annuali.",5,Fecha de edición: Hace 5 años
21,Mariacristina,"ho effettuato solo una prova per un corso e mi è bastata... personale maleducato e risposte alle mie domande molto poco cortesi. volevo solo chiedere qualche informazione in piu' riguardo all iscrizione, ma viso l'atteggiamento, vado a farla da un altra parte.",1,Hace un año
22,Marco Gabrielli,"la miglior palestra di bodybuilding a ferrara! super consigliata, soprattutto per chi è un atleta e/o un appassionato di allenamento!",5,Hace un año
23,Giorgia Capucci,"indubbiamente la palestra più attrezzata e versatile di ferrara, fin dal primo giorno ho trovato un ambiente accogliente e un fanatico staff. consiglio!",5,Hace un año
24,Gabriele Baccaglini,"ambiente ampio e ben attrezzato, abbonandosi è possibile entrare in sala pesi 24/7. c'è un'ampia area pesi liberi con dischi bumper e dischi in acciaio calibrati, bilancieri olimpici di ogni tipo e vari accessori. area macchine ben fornita, personale preparato. ambiente in estate un po' torrido, per il resto consigliato",4,Hace 3 años
25,Vecchio Marke,la palestra è grande e ben attrezzata...magari le macchine non fanno parte delle ultime serie prodotte ma sono cmq delle buone panatta e matri. c'è un'ampia sala dove poter fare qualsiasi esercizio a corpo libero o di calisthenics. manubri fino a oltre 50 kg.. ciliegina sulla torta..aperte h 24..prezzi tra i più bassi di ferrara.,4,Hace 5 años
26,GPF Aspirine co uk,palestra ben attrezzata con una bella varietà di scelta per le attività. personale cordiale ed istruttori molto preparati. ambiente pulito. parcheggio ampio. comoda da raggiungere come posizione non essendo in centro città.,5,Hace 7 años
27,Catalin George Radoi,"personale qualificato e gentile; inoltre la possibilità di allenarmi a qualsiasi ora di qualsiasi giorno, per me ma come ormai credo per tanti di noi è di vitale importanza. personale molto attento a far rispettare le normative covid in vigore e le sale sono dotate di appositi disinfettanti. personalmente ho sfruttato un'offerta molto conveniente, per maggiori dettagli informarsi in segreteria o seguire le loro pagine social dove pubblicano sempre promozioni riguardo i corsi e gli abbonamenti.",5,Hace 5 años
28,Consolato Arcidiacono,"disponibilità e professionalità dello staff, ottimi i spazi comuni. un particolare 5 stella a carolina, fitup ferrara, per la sua disponibilità e professionalità in pilates e total body.",5,Hace 2 años
29,Fabio Poz “Tiger Man”,palestra nuova e con istruttori bravi e competenti,5,Hace 8 años
30,Vito Romaniello,"do comunque 5 stelle perché è la miglior palestra in cui mi sono allenato anche se sprovvista di spalliera nella sala 3, dove c’è spazio per metterla…spero al più presto però per il resto top …",5,Hace 2 años
