id,name,comment,rating,review_date
1,Peibol Vilongo,"Gimnasio situado en la primera planta del C. C. Valdebernardo. El tamano es adecuado, los monitores son atentos y explican correctamente, variedad de horarios de apertura. Aforo alto en las horas punta, el precio mensual ronda los 40€ mensuales. Dispone de aparcamiento en el centro comercial tanto en exterior como cubierto. Es accesible por sillas de ruedas. Se dispone de escaleras mecánicas y ascensor.",3,Hace una semana
2,JOSE MTB. MADRID,Hola. Hace dos meses puse una reseña que no tratáis a todo el mundo por igual.  A la hora de cobrar todos pagamos igual. Pero los que vamos a mediodía tenemos mucho menos derechos que los que van por la mañana o por la tarde..Me dijeron que lo estabais  mirando para darle  solucion. Pero veo yo que no hay solución ninguna. Solo estáis apañados para cobrar todos los meses la cuota pero soluciones ninguna.   Es una vergüenza de Gym... Los que vamos a mediodía pagamos lo mismo y no tenemos ni clases de spinning ni muchas otras  clases.   Hay unos saltos muy grandes en los horarios de las clases.  Es lamentable y vergonzoso y sigue pasando el tiempo y es que no hacéis nada de nada...no recomiendo el gimnasio solo tenéis que hacer es mirar la reseña si veis todas las quejas que hay y no hacen nada de nada. Mes tras mes... Un saludo,1,Fecha de edición: Hace 2 semanas
3,ANA BARRIALES SANCHEZ,"Ya esta bien de seguir siendo el PEOR DREAMFIT DE MADRID y no es una opinión,  es un hecho,  faltan máquinas que todos los demás tienen (Remo en T, Peck Deck), no paráis de subir la mensualidad sin meter nada nuevo, bueno perdón, algun agarre cada 2 años que nadie ha pedido ni nadie quiere.
Parece un gimnasio alejado del resto y si no, podeis ir a cualquier otro y ver la brutal diferencia con este. De verdad lo digo, meter maquinas nuevas, ampliar el espacio y en general hacer que parezca un dreamfit como los demás.",1,Hace 2 meses
4,Mario Paredes Rodríguez,"Lo del aforo ha llegado un punto insostenible. Llevo 4/5 años en este gimnasio (más de 3 de ellos post pandemia), y ayer me tuve que dar la vuelta después de haber ido debido a toda la gente que había. Entiendo que, como al principio, hubiera 2/3h al día en las que no se pudiera entrenar por la cantidad de soci@s presentes, pero, poco a poco, esa hora punta se ha ido convirtiendo en algo absurdo. Antes se podía entrenar a cualquier hora, porque, aunque hubiera mucha gente, no era algo prohibitivo. Aún así, si querías entrenar con más tranquilidad lo podías hacer por la mañana temprano (6:00-10:30h), después de comer (14:30-17:30h) y por la noche (20:30-23:00h). Ahora la situación es muy diferente. En las horas de menos afluencia se tiene el aforo que antes se tenía en las horas de casi máximo aforo y, en las horas de máximo aforo, ya no se puede ni entrenar. Además, ahora los horarios de ""entreno tranquilo"" han cambiado: por la mañana (6:00-9:30h), después de comer (15:00-17:30h) y por la noche ya no se puede entrenar (si quieres estar más de 40 minutos). Yo no puedo ir después de comer porque tengo universidad, muchos días no puedo ir tampoco por la mañana (porque no hay tiempo físico para hacerlo antes de tener que irme de casa) y, ahora, por la noche tampoco se puede... En fin, daremos algo más de margen, pero todo apunta a que nos vamos a cambiar al Miami. Es mucho tiempo de inacción y no sé si realmente merece la pena dar otra oportunidad, pero tienen que anunciar soluciones ya. Yo entiendo que no se apliquen de inmediato este tipo de medidas (por logística), pero hace falta regular el aforo. Propongo, inspirado en varias reseñas de soci@s hart@s de esta situación, tener que reservar antes de ir al gimnasio. Si, por lo que sea, un socio reserva, no va y no avisa con suficiente tiempo, podría haber penalizaciones de un par de días sin poder acceder al gimnasio. Lo que está claro es que hay que regular la afluencia de gente, y la reserva previa antes de acceder a las instalaciones no es ninguna tontería.
Un saludo.",2,Hace 2 meses
5,David Bello,"Un gimnasio con buena equipación, tal vez la única pega que le pongo es la cantidad de gente horas punta.
Por otra parte, a favor decir que el personal es de calidad sobretodo un especial agradecimiento hacía Valeria que está en recepción, es un encanto, me parece que por personas como ella los gimnasios como este funcionan , gracias Valeria.",4,Fecha de edición: Hace 3 meses
6,Pablo Murillo,En las tardes es inviable entrenar por el aforo desbordante que tiene. Y cada año parece que va a más. Una pena porque el gimnasio está guay.,2,Hace un mes
7,Nacho Do Nascimento Mullor,"El gimnasio me gusta, y cuenta con casi todo lo necesario a nivel de máquinas para entrenar, pero la zona de peso libre, es enana, masificada y con la problemática de no poder tirar el peso al suelo... Cuando trabajas con cargas sub máximas , es un riesgo que existe, y deberían mejorar la zona por salud de los clientes, siento decirlo así, pero prefiero romper el suelo a romperme la espalda o peor..

El ambiente es bueno, y siempre alguien dispuesto a ayudar, porque los monitores, aún viendo gente nueva con mala técnica, no se les ayuda, a mí no me gustaría haber estudiado para colocar discos... Sino para enseñar, ayudar , corregir y ser parte del proceso de aquellos que lo necesitan.
Por último, no entiendo por qué no se puede usar magnesio, o dejar una pequeña bolsa con el material de entrenamiento en la zona de trabajo, ya que es mejor dejarlo así que tirado por el suelo.
Como todo, está bien, pero hay que buscar mejorar , gracias",2,Hace 4 meses
8,Fe Gallardo,"Llevo 12 años, se nota que estoy agusto pero como es lógico pondría  como negativo el aforo en mi horario de tarde/noche que es excesivo (hay demasiados Socios)también habría que cuidar más el ESTADO de las máquinas ( las cuotas son para que los socios podamos disfrutar de su uso y no esperar varias semanas si están estropeadas).Hacer hincapié a los más jóvenes en el buen uso del material.
A disfrutar del gym otros 12!!",4,Fecha de edición: Hace un año
9,Jesus Pastor Garcia,"El gimnasio al principio estaba muy bien relación calidad precio. Llevo diez años yendo a este gimnasio y los monitores son buenos profesionales.
Desde hace un tiempo a esta parte, las instalaciones no están cuidadas, el gimnasio presenta humedades, falta de aire acondicionado en algunas salas, duchas con falta de presión...
Algunas máquinas están durante días sin reparar.
Lo peor de todo es la SAUNA, está muy sucia siempre, tienes que estar con la chanclas puestas por temor, ya que las maderas están llenas de porquería.
Que pena que se vaya degenerando tanto en tan poco tiempo.
Espero que tomen buena nota y solucionen todo esto.
Gracias.",3,Hace 6 meses
10,Miguel,"Es el peor dreamfit con diferencia. Tienes menos máquinas, menos espacio y más gente que en los demás de Madrid por el mismo precio. Os aprovecháis de que no hay competencia en la zona y no nos podemos ir a otro para no mejorar el servicio o igualar la calidad del resto.  Es una vergüenza",1,Hace un mes
11,David Dioses,"Buenas noches,

Como miembro del gimnasio, me gustaría expresar mi preocupación sobre el notorio deterioro de las infraestructuras y la calidad del servicio en general. A continuación, detallo algunos de los puntos más destacados que me gustaría que se tomaran en cuenta:

1. Estado de las instalaciones: He notado un evidente deterioro en las infraestructuras, como el suelo, que está siendo sostenido con cinta adhesiva, lo cual resulta no solo poco estético, sino también inseguro. Además, el aire acondicionado del baño no funciona correctamente y las instalaciones en general muestran signos de desgaste significativo.

2. Carteles de “elemento en reparación”: Algunos elementos del gimnasio llevan más de un mes con el cartel de “en reparación”. Esto es inaceptable, ya que no se está proporcionando el servicio que los socios estamos pagando.

3. Equipos obsoletos: Las máquinas de ejercicio son antiguas y, en muchos casos, presentan fallos de funcionamiento. Este es un aspecto que no ha cambiado desde la apertura del gimnasio, lo que limita la experiencia y eficacia del entrenamiento.

4. Aforo y horarios: En determinadas horas, el aforo del gimnasio es excesivo, lo que provoca incomodidad y dificulta el acceso a las máquinas y áreas de entrenamiento.

5. Falta de instalaciones comparables a otros centros de la cadena: En comparación con otros gimnasios de la misma cadena del Dreamfit de Valdebernardo, las instalaciones de este centro son deficientes. Por ejemplo, no contamos con un baño de vapor, y la sauna, cuando está disponible, tiene varios parches.

6. Condiciones de limpieza: La limpieza general del gimnasio es insuficiente. La higiene en las instalaciones, que debería ser una prioridad, no cumple con los estándares básicos que uno esperaría en un centro de estas características.

Finalmente, me gustaría expresar mi preocupación respecto a la posible subida de precios, ya que considero que, con las infraestructuras actuales y el nivel de servicio, no es adecuado aplicar un incremento sin antes realizar las mejoras necesarias en las instalaciones. Otros gimnasios de la misma cadena tienen infraestructuras más modernas y mejor mantenidas, lo cual hace aún más notoria la diferencia.

Espero una pronta respuesta sobre las acciones que se tomarán para resolver estos problemas, ya que como miembro fiel, me gustaría seguir disfrutando de un servicio que esté a la altura de lo prometido.

Atentamente",1,Hace 11 meses
12,Angel Garcia,"Estoy buscando un gimnasio en esta zona, lo único que veo positivo y cubre mis necesidades es la hora de apertura y el fácil aparcamiento, por lo demás y viendo la gran cantidad de quejas que hay en cuanto a mantenimiento y deterioro de las instalaciones y su maquinaria creo que no merece la pena ni ir a visitar las instalaciones por no nombrar los comentarios negativo que se pueden leer en cuanto a la mala educación del personal de recepción, con mi comentario sin ser cliente busco una reacción por parte de la cadena dreamfit, es una pena que teniendo centros envidiables y con tan buena reputación, como moratalaz y otros más, que tenga este centro tan descuidado causando tan mala impresión y lamentable imagen, perdiendo futuros clientes como es mi caso, de verdad que estaba decidido a darme de alta en este centro pero después de leer los comentarios he perdido todo mi interés, una pena.

Tu respuesta no responde a mi queja, los servicios están claros en la página web, lo que no está claro es que la cadena con las salas más grandes de España ponga remedio a las quejas de sus clientes, los mismos que pagan mes a mes cada cuota.

Me gustaría ver una solución en las malas maneras con las que el personal trata a los clientes y en un mantenimiento de calidad y funcionamiento del material, me gustaría tener al 100% este centro para poder usar sus servicios pero no es así una pena que tu respuesta sea la que es.",1,Fecha de edición: Hace 7 meses
13,José María Hontoria Rodríguez,Buen gimnasio con última maquinaria y muy buen servicio de profesionales. Gracias,5,Hace 3 semanas
14,Carolina PL,"La variedad de máquinas está bien, pero deberían controlar el aforo es imposible entrenar prácticamente durante todas las horas del dia, y por la tarde ni te cuento, intentas ir a liberar la mente pero acabas con más estrés teniendo que compartir.. esperar.. en fin una pena",1,Hace 4 meses
15,Alberto Prado Ramirez,"Cada día peor servicio maquinas estropeadas,subidas de cuota, aire acondicionado inexistente en vestuarios y clases  y cada vez menos clases colectivas la penúltima la clases de spinin de los domingos 11am y las dos últimas clases de ritmos latinos de los sábados de las 10h y 11ham.muchas gracias a la dirección y responsables del gimnasio.",1,Hace 3 meses
16,Ana Fernández,"Me está decepcionando mucho este gimnasio después de muchos años no piensan en los clientes a la hora de cambiar las clases yo salgo de trabajar a las 18 y por ejemplo han quitado una clase de glúteo a las 18:45 para meterla a las 18. Ya está bien que os estáis riendo de nosotros y no nos dais opciones otro día me parece que no lo estáis haciendo nada bien y así creerías mala fama. Nada contenta nos estáis cambiando las clases cada dos pot tres , nos tenemos que acoplar pero no pensáis en nosotros",1,Hace 7 meses
17,Jose Antonio López Pérez,Muy buen equipamiento. Márgenes de horarios bastante amplios. Por las tardes un poco saturado. Con Sauna y Solarium.,5,Hace 10 meses
18,Karen Reyes,"De los gimnasios que e ido acá en madrid debo decir que Dreamfit se adapta más a mis necesidades como usuario y no lo cambio por nada, siempre huele bien y está limpio todo, su personal de trabajo siempre son muy amables. Cada día para mi vale la pena el trayecto que hago para ir a entrenar ya que vivo en el centro de madrid para mi 100/10 ",5,Hace 2 años
19,Fernando Valencia González,"1... 2... 1⃣2⃣3⃣ LET'S GO!!!! 

Una gran opción para volver al gym!!

‍Gran equipamiento con muchas máquinas de última generación y mucha variedad. Entrenas sin problema y sin esperas!! Está todo superlimpio!!

Que sepas que tendrás muy buen ambiente dentro del gimnasio, con un horario muy amplio incluyendo sábados y domingos!! MUY TOP!!

Si estás buscando gym no lo dudes!!! Dreamfit Valdebernardo es TU decisión!!
Aciertas fijo!! De 10!! Nosotros acabamos de empezar y estamos contentísimos.

L@s monitor@s tanto en sala como en clases son buenísim@s!! Muy bien explicado todo y... Entre el músicon que ponen y la energía que trasmiten te transportan al escenario principal del mejor festival del mundo , quemando adrenalina y muchas calorías 

Train Today!! 
Sweat Tomorrow!! 
Unite FOREVER!! ",5,Hace 2 años
20,Chayenne Sweebroek,"Acabo de tener una experiencia horible en la recepción.

La chica en la recepción me quiere cobrar EUR 0,50 por olvidar la pulsera y luego cuando digo que me parece un poco exegerado cobrar EUR 0,50 me empieza a hablar con falta de respeto porque tiene el derecho porque viene en el contrato y si no me gusta me puedo dar la baja.

Pedí la hoja de reclamaciones porque no me parece bien tratar a clientes asi independiente que viene en un contrato o no.

Tarda casi 10 minutos en buscar una hoja de reclamaciones y luego ni me pregunta si aun quiero entrenar...
Cuando digo que quiero entrenar casi me tira la pulsera sin indicarme como entrar con una pulsera prestada.

Me parece una verguenza un servicio asi con las subidas exegeradas que hacen cada año sin tener un mejor servicio, llenando el gimnasio sin limite hasta que la gente ni puede entrenar normal porque todas las maquinas estan ocupadas.
Ademas la maquina para entrar tambien falla cada vez... Tambien van a devolver EUR 0,50 por cada vez que no de puede entrar o salir normal por falla de la maquina?

Quizas con lo que cobran deberian de tener una tecnologia de entrada mas moderno sin tener que llevar un objeto para entrar....

Este gimnasio abusa  porque no hay muchos gimnasios alrededor.
Es de verguenza.",1,Hace 9 meses
21,Andrea,"Me parece fatal me quite porque en este gimnasio hacían step, las clases estaban llenas y la monitora aparte de ser una gran profesional era una chica encantadora animaba las clases. No entiendo el porqué lo quitaron.",1,Hace 6 meses
22,M Pg,"Gimnasio bastante grande. Variedad amplia  de Máquinas fitness Technogym. Buen ambiente.Lo bueno: horario amplio,muchas taquillas y máquinas nuevas o casi nuevas. Lo malo: 4 cintas que no funcionan en pleno día festivo lleno de gente y solo 2 bicis con respaldo( en gym más baratos tienen al menos 4). Para el precio que tiene debe mejorar en cantidad de ciertas máquinas.",4,Hace 6 meses
