id,name,comment,rating,review_date
18,Mario acosta padron,"demasiado oscuro. no entiendo porque no ponéis más iluminación… es muy incomodo entrenar. por favor tenedlo en cuenta, con buena iluminación cambiaría completamente la experiencia.",3,Hace un mes
39,Rossella Cimino,"es un buen gimnasio en general : la sauna no está operativa desde la plandemia., no se aceptan pagos en efectivo, la sala de las maquinas dependiendo de los días es un poco sucia a veces.... aunque sea obligatorio usar toallas, hay muchos usuarios que no la usan y no hay nadie del equipo que vigile de vez en cuando. el precio es correcto",3,Hace un año
86,Jose,"se trata de uno de los gimnasios más grandes de la cadena en los que he estado con gran cantidad de máquinas. no obstante, valorando lo como cadena es muy mejorable. es muy fácil darse de alta pero para darse de baja sólo se puede realizar por teléfono en un horario bastante restrictivo ya que desde el mismo gimnasio no se puede. he renovado telefónicamente y llevo una semana yendo y esperando a que revisen mi ficha perdiendo como mínimo 20 minutos cada vez que voy.",3,Hace 7 años
101,Graziela Müller Martins,"la academia esta remodelada y es bastante completa en términos de equipamientos. pero en mi opinión las instalaciones son demasiado oscura, no hay luces o buena ventilación. no hay instrucciones en la parte de pesas, si ya tienes tu rutina y sabes cómo hacerla ok, pero si necesitas ayuda con la ejecución de algún ejercicio olvídate, vas hacerlo incorrectamente y lastimarte y nadie vendrá a corregirlo. los horarios de las clases también son limitados.",3,Hace 2 años
124,Javier Márquez Sanz,"la verdad es que han dejado el gimnasio muy bien con nuevas máquinas pero hay que pedir todos los días que pongan el aire acondicionado y solo lo ponen en una zona, en el resto a morir de calor. ya me han dado 3 bajones por el calor, mareo y demás . entrenar con 40 grados en la calle y 30 y pocos dentro no es normal",3,Hace 3 años
159,Macarena Collantes de Terán,"en mi vida he visto un gym (y he estado en unos cuantos) con clientes más maleducados e irrespetuosos con el resto de usuarios. siempre está todo el material tirado por todas partes, estoy cansada de recoger cosas que otros dejan por cualquier lado, estás entrenando y en cuanto te das la vuelta te han mangado la mancuerna, una kettle, la esterilla o el hueco donde estabas tú entrenando. nadie respeta ni el material ni a los demás. lo siento por el gym, porque entiendo que ellos no tienen la culpa de la educación de sus clientes, pero sin duda, esto, le resta calidad.",3,Fecha de edición: Hace 6 años
191,Fábio Di Silvestri,"optimo ambiente, ubicación y personal. las máquinas son algo viejas, no hay monitores de sala y hay poca luz en la zona de peso libre. las pesas muy viejas también. óptima relación calidad/precio, pues es de lo más barato",3,Hace 10 años
193,Georgina Meow,"me ha desesperado bastante que esté tan oscuro y con luces led en plan discoteca, no entiendo esta nueva moda de gyms de esa ilumimasión, luego hacía un calor para flipar, luego que en la zona de los sacos de boxeo se ponen los monitores a hacer clases de yoga y tal y hasta me supo mal acercarme al saco a darle unas pocas patadas por el tema del ruido que provocan los golpes... las duchas estaban limpias y ha sido el primer día que voy a este gym pero para agosto me he dado de baja porque tanta oscuridad en verano me da claustrofobia... podría ser un gym genial si la iluminación fuese diferente y si la zona de sacos fuese para poder usarlos para eso y ni para otras cosas.",3,Hace 2 años
202,Daniela Arellano,"el problema real de este sitio no es la póliza de cancelación, si la preguntas ellos claramente te contestan que debes cancelar un mes antes, el problema es que está demasiado desordenado, hay demasiadas máquinas de tren superior pero si nos vamos a lo básico en piernas solo hay dos prensas una mínima y otra con un rango extraño de movimiento, es decir no hay prensa, no hay máquina para sentadilla hack y no tienen la maquina de hip thrust hay una pero es con la barra asistida no la barra sola con la banca, por lo que si quieres hacer este ejercicio debes buscar prácticamente pelarte por una barra y buscar una banca y armar todo de cero, no hay steps en la parte de abajo es complicado subir a buscarlos y bajarlos por lo que si quieres hacer sumo con dos steps o patada de glúteo o un step no podrás hacerlo, a parte cuando baja un poco la temperatura 1 grados 18 grados de una vez apagan el aire acondicionado y el gimnasio apesta, por último los discos no corresponden a las barras que tienen, tienen discos con huecos demasiado grandes otros demasiado apretados y es muy incómodo porque el disco siempre queda bailando en las barras.",3,Hace 2 años
205,Jose Javier Iglesias,muy buen gimnasio. el area de box es ideal para complementar cualquier ejercicio. el unico punto que resta mucho es que abre a las 7am. seria mucho mas efectivo que abriese a las 6.,3,Hace 2 años
237,Sergio,menos mal que pusieron aire acondicionado en la nueva sala de ciclo. al principio te daba una lipotimia. horario amplio. sala de musculacion grande. buen gimnasio.,3,Hace 8 años
247,Leonardo P.M.,"le falta maquinaria en musculación. para hacer espalda, para bíceps solo un banco scott... y otros tantos, esta genial, ambiente, decoración, amplitud pero escasas máquinas tren superior",3,Hace 4 años
258,María Cañas,"en el gimnasio de plz de república dominicana quitaron la única fuente que había de agua. no se puede beber agua en todo el centro, solo de los lavabos o en las máquinas expendedoras que están fuera.",3,Hace 6 años
259,Javier Lasser,el gym y el personal está muy bien unido al buen precio merecería 4 estrellas que en contrapartida con la gran masificación de gente hace que baje la puntuación. aun así buen gym.,3,Hace 7 años
272,Taylor S. Miller,"excelente gym donde hay una gran variedad de máquinas y un gran espacio para entrenar, yo soy de las personas que odian los gimnasios pequeños por eso este me encanta",3,Hace 8 años
275,Anne sophie Salazar Del Castillo,"gimnasio que se peta siempre. en general, no está mal porque hay muchas máquinas y clases colectivas.",3,Hace un año
294,JA B.,"buen gym, buenas clases aun que con las nuevas luces parece mas club nocturno",3,Hace 3 años
315,Marta Albi,"un poco escaso en cuanto a máquinas, además está todo demasiado mezclado para mi gusto. falta amplitud.",3,Hace 6 años
353,Rafael Gonzalez Robles,"a ver si volvéis a abrir los domingos por la tarde, por favor.",3,Hace 5 años
382,Juan Rivera,normal,3,Hace 7 años
407,Hamzah Aladwan,not the best gym to go to.,3,Hace un año
