id,name,comment,rating,review_date
1,Pilar Palma,"Soy socia y habitual de este gimnasio desde hace dos años y debo decir que los chicos de la recepción hacen un trabajo muy bueno, siempre con una atención y un trato de primera que me hace sentir a gusto en mis entrenamientos. Las máquinas las mantienen muy limpias y ordenadas, y más hoy que estan haciendo varias reparaciones dentro del club. Más bien, algunas personas son desconsideradas al complicarles el trabajo dejando las pesas en cualquier sitio en el mancuernero. Mucho hacen los chicos organizando todo a cada rato todo.",5,Hace 5 meses
2,Amich 29,"Está claro que se están comprando reseñas porque el gimnasio no está ni limpio ni ordenado. A todos los que están aceptando poner reseñas de 5 estrellas falsas no le están haciendo ningún favor a nadie.
Añado vídeos e imágenes del desorden que hay todos los días de las mancuernas (lo cual dificulta encontrarlas y usarlas adecuadamente) y de la suciedad y desgaste de las máquinas del club.",1,Fecha de edición: Hace 3 meses
3,A,"El material es de vergüenza, todo está roto y no se arregla en meses. El único colchoncito está roto y hace que te claves la barra, pero no hay planes de cambiarlo. A 38 grados en julio tienen la misma temperatura que en enero a 5 grados porque dicen que “hace frío”, según las palabras del encargado Iván. Será que le gusta ver sudar a las chicas a las que tanto molesta en el gimnasio.",1,Hace 3 meses
4,Alena Kalesnikava,"Javi nos atendió de una manera inmejorable! Muy buena persona, muy buen profesional! Las instalaciones del gimnasio son muy completas! El sillón del masaje es un plus muy grande y la máquina Yanga sports water es una pasada!  La mochila Basic Fit - muy necesaria y cómoda!Estoy muy encantada y agradezco del corazón el recibimiento!",5,Hace 2 semanas
5,Andres,"Voy en la mañana y el gimnasio esta impecable  y muy limpio para darle uso,y sin contar la amabilidad de jesus que sobresalta y hace que sea mucho acogedor a la hora de ir a entrenar",5,Hace un mes
6,Elany Sanchez,"Me gusta mucho el gimnasio, siempre impecable en cuanto a su limpieza en  las instalaciones. El trato del personal es de 10, excelente.",5,Hace 5 meses
7,Heidy Ruiz,"Excelente atención al cliente, el gimnasio está limpio y ordenado, las maquinas que hay son muy funcionales.",4,Hace 5 meses
8,Lester Chirinos,"Es la 2da vez que Me ROBAN en el BasicFit! La primera me abrieron el Locker y el Bolso y me quitaron el móvil, ahora fue en plena sala, y lo peor es que la respuesta de cualquier persona “encargada” es “ESE ES TU PROBLEMA POR DEJARLO AHÍ” sin tratar de al menos revisar una cámara de seguridad que es LO MÁS SENCILLO DEL MUNDO en cualquier establecimiento! Pero como se las sudaaaaaa estar pendiente de  las pertenencias de los demás y asumir una gestión tan fácil como es revisar algo al momento, pues es lo más fácil mandándome  a un jodido “protocolo” de denuncia en la policía solo pa ver quién tomó mi paraguas de un sitio! esto también me pasó en la planta de Vallecas, En La De Diego De Leon hace 2 años y ahora aquí en esta! CUIDADO A MIL CON SUS PERTENENCIAS CUANDO VAYAN A CUALQUIER BASIC! en otro sitio fácilmente pueden ayudar a revisar pero aquí nunca les da la gana!",1,Hace una semana
9,Paola Arcila perez,"Es el peor basicfit que he visitado, con una mala distribución y diseño, muy pocas máquinas, un hacinamiento terrible y el aire apagado a gusto de la recepcionista, no se puede respirar por la acumulación de vapor en el aire. Al respecto pregunto, ¿No hay una normativa para la temperatura en estos sitios? O a falta de ella porque no establecen una política para que no esté al gusto de los empelados que obvio no van a tener el calor que tiene una persona que está haciendo actividad física.",1,Hace 3 semanas
10,Miguel Angel Alonso Baeza,"En general, bien. Ambiente acogedor para entrenar. En general está limpio y los monitores se preocupan porque esté todo en orden.El único ""pero"" que le pongo es que presenta una excesiva ""informatización"" del papeleo , a la hora de inscribirse.Me gustaría que se pareciera más a un gimnasio tradicional, de esos que se suelen denominar como "" de barrio"". Aun con esto, estoy bastante contento de ir Mientras pueda  seguiré",4,Hace 2 meses
11,Raquel Gonzalez Del Rey,"El nuevo encargado Javi, se preocupa porque las instalaciones estén funcionando correctamente y limpias proporcionando una buena atención al cliente, muy contenta por el cambio.
También se ha preocupado de ajustar las bicicletas de Spinning. Ya sólo falta que vengan a arreglar la pantalla de Spinning, la cual está sin uso por estar estropeada.",5,Fecha de edición: Hace 3 semanas
12,Andrea Lopez,"El gimnasio está bien a pesar de ser pequeño. Pero hay un monitor, Iván, que se dedica a molestar y acosar a las mujeres. A mi personalmente ha llegado un momento que no me deja ni entrenar tranquila, más que ha vulnerado la normativa de protección de datos con clientes. No sé cómo después de varias quejas se sigue permitiendo esta actitud.",1,Hace 2 meses
