id,name,comment,rating,review_date
1,Isaac Reyes,"No importa las veces que tengas que acercarte, el chico te mirará de reojo y le dará igual. Me acerqué 3 veces y las 3 veces fue lo mismo. Me quedé parado por 15 minutos la 3ra vez para ser atendido y nada.…",1,Hace un mes
2,Cristian,"Me encanta el gym , uno de los mejores de España y Madrid , Jorge es el mejor muy majete con una sonrisa siempre.
Eleiko una locura , Hummer otra pasada. Un acierto la cadena.",5,Hace 2 meses
3,Nat Nat,Gracias A Milagros y a Quimi por ser tan atentas y cordiales! Además este gym es el mejor de Madrid excelente atención y tiene todas las máquinas y equipos necesarios para estar en forma 💪🏾…,5,Hace una semana
4,Gabriela Pérez,"Estoy contenta con las instalaciones y la maquinaria del gimnasio,todo está muy completo por lo que para los que llevamos ya un tiempo entrenando es perfecto, pero lo que realmente marca la diferencia es el personal refiriéndome a Quimi…",5,Hace 4 meses
5,Laura Valenzuela,"Pongo dos estrellas porque en si lo que es el gimnasio y la maquinaria está bien, mi decepción es respecto a la masificación de personas que hay, vayas a la hora que vayas Siempre es un lío para poder realizar un entrenamiento a tu ritmo,…",2,Hace una semana
6,Roberta Sana,"Gimnasio moderno y completo, con un ambiente agradable y todo lo necesario para entrenar a gusto. Lo que realmente destaca es Jorge, siempre recibe con amabilidad y sabe explicar las cosas de manera clara y cercana, lo que hace que te…",5,Hace un mes
7,J.j Anonaddy,"Me inscribí en Fitness Park con ilusión, pensando que sería una buena experiencia.
Por motivos laborales tuve que trasladarme temporalmente y solicité mi baja.…",1,Hace un mes
8,Karla Alejandra Vazquez,"Domingo 28/9 a las 9h52.
Me presento para pedir informes y no hay nadie.
Me encuentro con un letrero de ""regreso en 5 minutos"" al cabo de 10. Veo pasar…",1,Hace un mes
9,Mauricio Gil Barahona,Gimnasio excesivamente masificado. Suelo acudir a horas que deberían ser poco concurridas (fines de semana o primera hora) y siempre está a tope. No me quiero imaginar cómo tiene que ser en hora punta. La cosa ha llegado al extremo de…,1,Hace un mes
10,BORJA SAROBE ROBLEDO,Cuidado si os queréis dar de baja. Te dicen que lo congeles x meses sin coste por si puedes volver y cuando quieres darte de baja definitivamente te lo reanudan y te hacen pagar ese mes antes de cancelarlo. Son unos estafadores.,1,Hace una semana
11,Juanito 82,"Una experiencia para olvidar.
Si te gusta pagar por frustrarte, este es tu sitio. Fitness Park Plaza Río tiene todo lo que un gimnasio no debería tener: saturación constante, baños sin…",1,Hace 3 semanas
12,Jeison Alejandro Flores Gálvez (Ale),"Me gusta mucho este gimnasio tiene todo lo que se debe tener para entrenar bien, es cierto que hay horas en las que el aforo me parece que está por encima de lo que debería, pero cambié de horarios para ir a entrenar y ya no tengo ese…",5,Hace 8 meses
13,Augusta Arbusta,"El gimnasio está completamente saturado, incluso en horas supuestamente “tranquilas” como la 13 de la tarde o las 23 de la noche. Hay demasiada gente, cuesta encontrar espacio o material disponible. Además, tardan muchísimo en sustituir o…",1,Hace 4 semanas
14,Mayer Zabaleta,"Las instalaciones y maquinaria son modernas, me ha gustado mucho el espacio aunque es un poco pequeño. Agradezco la excelente atención de Quimi, quien me ha mostrado y explicado todo perfectamente. Empiezo con oferta gratis de 4 semanas. De momento 4 estrellas 🌟…",4,Hace un mes
15,Yanerys Borre,"Agradecer a Jorge que ha estado dándome información y explicándome sobre el funcionamiento del gym, ha sido muy bueno su servicio y siempre pendiente de la instalación por si algún usuario necesitaba ayuda.",5,Hace 6 meses
16,Patricia Yuste,"El Gym me gusta bastante , la atención de Jorge fue muy buena , me enseñó toda la variedad que tiene el gimnasio. Me gustó mucho Hummer y Eleiko.
Me apunté por la variedad , la atención y lo limpio que está todo.
Lo recomendable.",5,Hace 3 semanas
17,Jonathan Gómez,"El gym cuenta con máquinas modernas y un ambiente agradable, pero las taquillas son pequeñas y las instalaciones algo reducidas para la cantidad de usuarios. La afluencia tan alta hace que las máquinas sean insuficientes, obligándote a…",3,Hace 2 meses
18,Eva Hamzaraj,"Excelente gimnasio! El lugar está bien cuidado, limpio y ofrece todo lo necesario para entrenar con motivación. Servicio perfecto por parte de Jorge! Lo recomiendo :))",5,Hace un mes
19,Camilo Osorio,"El gimnasio está completamente saturado.

Soy socio de Fitness Park Río 2 desde hace un tiempo, y puedo decir que la…",1,Fecha de edición: Hace un mes
20,Raul Berrocal laguna,"Las instalaciones del gimnasio están a la altura de su profesionalismo: espacios amplios, muy bien ventilados, limpios y con máquinas modernas y en excelente estado. Hay zonas dedicadas tanto a fuerza como a cardio, además de áreas…",5,Hace 3 meses
21,jesus Palmés,"Un lugar horrible, tiene permanencia y el personal no te avisa e intenta que no te enteres. Pedí en persona que me dieran de baja automáticamente cuando cumpliera mi permanencia y el chico me envió un correo diciéndome que ya lo tenía…",1,Hace un mes
22,Vicen Guzman Poveda,"Buen gimnasio, precio económico, amplio, limpio y con máquinas bastante top. Los monitores también genial. Especialmente Jorge, es un crack, yo siempre que tengo una duda me responde sin pegas. Lo recomiendo.",5,Fecha de edición: Hace un mes
23,Pedro García,"De servicios y tal pues bien, no mola lo de que la fuente de agua sea gratis el primer mes y luego tengas que pagar; además el gimnasio se está quedando pequeño, ya sé que viene condicionado por el espacio previo pero bueno es algo que hay…",3,Hace un mes
24,Cristina García,Jorge ha sido muy amable y me ha animado a probar el gimnasio pronto estare inscrita. La sala muy amplia y muchas máquinas variadas. La zona que más usare es la planta superior donde hay ejercicios guiados con un profesor virtual.,5,Hace 3 meses
25,lpbala01,"Hoy fui a fitness park para realizar mi inscripción. Me atendió Quimi, un chico servicial, amable, muy simpático y sobretodo atento.
Resolvió cualquier tipo de duda que tuviese y me aconsejo de manera muy genuina.…",5,Hace 2 meses
26,Blanca Rosales,"Gimnasio muy completo y moderno. Las instalaciones están bien cuidadas, con máquinas de fuerza, cardio y peso libre en muy buen estado. El ambiente es agradable y se nota que cuidan la limpieza. Eso sí, en las tardes suele llenarse…",5,Hace 4 meses
27,Valentina Marín Rodríguez,Sergio y Quini gran atención! Las instalaciones son muy amplias y permitiendo un gran servicio de entrenamiento personal por parte de Valen,5,Hace una semana
28,nayker chacon,"Muy completo el gym , las máquina son modernas unos de los mejores gym de Madrid",5,Hace 5 meses
29,Karol Shirey Martinez,"Excelente atención por parte de Milagros, me explico todo el proceso muy profesional, recomendable al 💯…",5,Hace 3 meses
30,Nicolas Gallego,"Quiero destacar la excelente atención que recibí por parte de la recepcionista del gimnasio. Desde el primer momento fue muy amable, atenta y profesional. Me ayudó con todas mis dudas con una gran disposición y una sonrisa. Es un gusto…",5,Hace 6 meses
31,Valeriy Litvinenko,"Entre todos los gimnasios de Fitness Park que he ido, este es el más cuidado y limpio. Un punto importante que que el equipo es súper amable y atento, en especial Mónica con su sonrisa agrada incluso el día de pierna jaja",5,Hace 3 semanas
32,Luis Piñero Álvarez,Quimi fue un monitor genial y me enseñó todas las instalaciones. Me explicó bien el contrato y me ayudó a elegir el mejor equipo para mis entrenamientos!…,5,Hace 2 meses
33,Borja Baños Garcia,"no informan bien deliberadamente de las condiciones al inscribirse. Esconden las clausulas de permanencia para que firmes y los comerciales no te la comentan. Intentas razonar con ellos, ya que el servicio que da el gimnasio es lamentable y…",1,Hace 2 meses
34,Carolina Castaño,"Jorge me atendió genial , quedé sorprendida con el trato , nunca me habían enseñado un gimnasio con tanto entusiasmo me apunté por él y porque tiene unas zonas maravillosas de entreno.…",5,Fecha de edición: Hace 4 meses
35,Andrea Calcerrada,"Me gusta el Gym , la atención de Jorge fue excelente , me apunté al Gym por la forma de enseñármelo , un chicho muy agradable y simpático.
Me gustó todo muchísimo , todas las formas de entrenar , el hidromasaje , un acierto .",5,Hace un mes
36,alvaro bonilla04,"me encanta el gym , te regalan el ultimate que esta genial. la atencion de Jorge es miy buena , un chico con mucha paciencia , una sonrisa y enseña el gym muy bien.…",5,Hace 2 meses
37,VLADVLAD ES,Lo peor de lo peor que pueda exictir siendo un gimnacio. Te hacen firmar un contrato de permanencia como si fuera un prestamo de banco. Encima permiten que haya firmado una menor de edad y luego no te permiten dar de baja nisiquiera un…,1,Hace una semana
38,Bryan leonardo Moreno,"Muy majo el chico que me atendido, Quimi se llamaba ojalá siga mucho tiempo 😎😎…",5,Hace 2 semanas
39,Dilaisy Gomez,"Es un buen gym 🔥, los encargados son muy amables y diligentes, en la recepción el señor Felipe siempre es muy amable y la joven de pelo largo también, siempre con una sonrisa al recibir los clientes. Los vestuarios siempre están limpios, hay horas de aforo como en todos los Gym, lo más factible es tomarle el hilo y ya está!☺️…",5,Hace 10 meses
40,Ƭเмση煤,"Quimi me ha atendido genial , me ayudó mucho con mis dudas y atendiéndome en las instalaciones",5,Hace una semana
41,Geray Mena,"Instalaciones perfectas, horario y combinado con entrenador personal es para mi la mejor opción de la zona.",5,Hace 2 meses
42,Jorge Santos,"Es un Gimnasio 10 ! Tiene un horario muy amplio , cuando yo voy está casi vacío , el hidromasaje esta guapísimo! La atención en recepción es insuperable , Mónica me atendió genial. Encima está semana me llevé una mochila gratis. Y puedo acudir a todo los de Madrid , muy buena cadena!",5,Hace 11 meses
43,Juan Alberto Guirao,"El aforo en este gimnasio es el peor que he visto en mi vida, te diran que hay otras horas en ls que hay menos gente, pero eso no sirve de nada, llevo aquí desde que abrió y nunca hay solucion. Grupos de 5 chavales para usa una maquina,…",1,Hace un año
44,DANIELA GONZALEZ,"UNA DE LAS EXPERIENCIA MAS HORRIBLE QUE SE PUEDA PASAR EN ESTA  SEDE,NO VUELVO MAS ,DESDE EL MINUTO 1 LOS VESTUARIOS HECHOS MX+x#A TODOS SUCIOS UN DESOORDEN EN LA ZONA  DE MANCUERNAS,PARA COLMO ESTOY CON CASCOS Y SE ME CAE LA PARTE DE ABAJO…",1,Hace 4 meses
45,Virginia Rey,Cada vez está más saturado. Por las tardes es imposible ir porque no puedes usar ninguna máquina ni tienes espacio.…,1,Fecha de edición: Hace un año
46,Randy,"Muy buena atención, Quimi es super atento y amable. El sitio está super bien",5,Hace 2 semanas
47,Sara Monterroso,"Desde el comienzo me atendieron muy bien ,me explicaron a detalle por eso decidí inscribirme al instante, incluso tuvieron la atención en mostrarme como se utiliza cada máquina , un buen ambiente , sinceramente lo recomiendo.",5,Hace 5 meses
48,Lucielli Gomes Ferreira Turcano,"La verdad es que me sorprendió mucho... Las maquinas son muy buenas, la gente es muy amable. Es la primera vez q voy,  había bastante gente, pero se puede entrenar perfectamente y la gente es amable. El atendimiento de Quimi es nota 10 de…",5,Hace 7 meses
49,basilio orcasitas,"Jenny la encargada,muy amable hace mucho tiempo no conozco una monitora tan completa,atenta a los clientes,muy limpia y te ayuda en cualquier duda que tengas tanto a contratar el plan de suscripción,como en el asesoramiento en cuanto a…",5,Hace un año
50,cristian luque vargas,"El gym tiene de todo , eleiko gozas , la báscula un puntazo y la atención de Jorge es de locos , un tipo muy majete  , me enseñó el gym muy bien…",5,Hace 2 meses
51,Álvaro Cobián,"Llevo unas semanas entrenando en este gimnasio y es de calidad superior. Destacar también el trato por parte de los trabajadores, en especial Álex, servicial y atento.",5,Hace un mes
52,Alessandro Gustavo,Milagros es super atenta y se ha preocupado por que todo este genial nuestro tiempo aqui,5,Hace 2 semanas
53,Sara R.H,Hoy ha sido mi primer día y la atención de Jorge ha sido genial. Me ha explicado todo al detalle. Me ha hecho un tour por la sala explicándome todos los servicios y ha sido super profesional y cercano.,5,Hace 4 meses
54,Jeisson Peralta,"La atención de Jorge es excelente , me explicó todo genial.
me encantó el gym sobretodo Hummer está muy heavy. Es grande y mucha variedad de entrenamientos",5,Hace un mes
55,Doris Eliani Pérez,"Esta máquina continúa dañada, no es que se tomen unos días para repararla, pueden pasar meses si no se hace el reclamo, en la recepción dicen que es culpa de TecnoGym, pero la mensualidad (que eso sí se lo debitan a tiempo) la cobra Fitness Park, no TecnoGym.",1,Fecha de edición: Hace 6 meses
56,Andrea Cortés Cortés,"Buena atención por parte del equipo, en especial milagros! Me ha dado un excelente recorrido y una explicación detallada de todo lo que incluyen el club.
Se ve muy atractivo y profesional para los que buscan espacios más modernos.",5,Hace 5 meses
57,Miguel Angel Arroyo Javega,"El gym genial, muchos aparatos de mucha calidad, todo muy bien cuidado; pero para mí un punto a favor muy muy importante su horario tan extenso. Mención especial a Jorge que fue muy agradable, explicándome el funcionamiento de todo detalladamente y que hizo decantarme para que me apuntara",5,Hace 4 meses
58,Alesia,sergio es majisimo la verdad es que me ha atendido super bien y es muy profesional,5,Hace 2 semanas
59,Samuel Hermoso,"Hoy he ido el primer día y está cojonudo el gimnasio. Todas las máquinas y material nuevo, de Technogym. Las clases colectivas son con tv y el gimnasio no tiene monitores que te ayuden. Son entrenadores personales independientes. Pero es un…",5,Fecha de edición: Hace 2 años
60,Denis10077 107,"Me gusta el Gym , en general. La atención de Jorge fue excelente . Me enseñó todo con paciendo.…",5,Hace 2 meses
61,Diego Quintana Trápaga,"Muy buen trato, Milagros lo puso todo fácil para la suscripción.",5,Hace una semana
62,Luis alejandro Castellanos alcira,Recién estoy ingresando... Milagro excelente atención y carisma para ser parte de este equipo una vez tuve la oportunidad de venir con una amiga y aquí estoy porque la verdad quede complacido con el lugar,5,Hace 3 meses
63,Dario Alejandro Lopez,"Llevo tiempo entrenando en distintos gimnasios, pero desde que empecé en Fitness Park Plaza Río 2, la experiencia ha sido totalmente diferente. Desde el primer día, el trato del personal fue de 10: cercanos, atentos, y siempre con una…",5,Hace 3 meses
64,Vitor VBP,"Milagros

Tuve el gusto de coincidir con una chica en el gimnasio que fue increíblemente…",5,Hace 6 meses
65,El Paraca y sus Movidas,"Suele tener bastante gente, pero está muy limpio, quizá la zona de mancuernas un poco más recogida, pero al final eso es culpa de la gente y no del gym.",5,Fecha de edición: Hace un mes
66,Kevin Camacho Rosales,"Acabo de apuntarme al gimnasio y me parece estupendo, en especial el servicio al cliente tan profesional de Quimi, el monitor. Recomiendo 100%.",5,Hace 2 meses
67,Vanessa Irribarren,"No les doy las 5 porque me gustaría que fuese más grande
Un gym Top cuando no está en aforo casi total (no puedes ni mear), pese a ello la iluminación , los utensilios y servicios que prestan son excelentes .",4,Hace 9 meses
68,Diego Meijido,"todo bien, pero los baños podrían estar un poco más limpios por la tarde y sobre todo, las esterillas están todas rotas. por el resto muy bien.",5,Hace 2 meses
69,Vannessa Galvez,Me gusta el gym pero no hay agua en la planta de abajo lo que dificulta las series. Se ha solicitado el agua muchas veces. Otro punto es que las personas que no tienen el pack con agua y minerrales debe traer su agua. Queremos agua para todos. De resto el ambiente es agradable y los trabajadores son lo máximo,3,Hace 2 años
70,Anacris Pardo,"La atención de Jorge es excelente. Me encantó como me ofreció el gym , tiene mucha variedad. Hummer y eleiko de locos",5,Hace un mes
71,Lorena Arnáiz Ródenas,"Muy buena atención por parte de Quimi, muy atento, fui a inscribirme y me informó de todo correctamente y con un trato muy bueno!!",5,Hace 2 meses
72,Marco Peña,"La atención de Jorge es exactamente , siempre me atiende genial.

Eleiko y Hummer es de locos",5,Hace un mes
73,Laura López Rodríguez,"Políticas abusivas y trato al cliente pésimo:
Después de años entrenando en la cadena, el centro Plaza Río 2 me expulsó de forma definitiva y vitalicia de todos los gimnasios Fitness Park por un incidente…",1,Hace 3 meses
74,Carol Cristina Correa Celis,Milagros Super atenta muy amable nos explicó todo super bien tiene una energía super chevere gracias,5,Hace una semana
75,ÉclatYeuxParis,"El gimnasio está muy bien, muy buenas instalaciones aunque es una pena la selección de personal que hacen. Lo estropea todo bastante, CABE DESTACAR en este sentido a una monitora/staff que se llama Mónica (por si vais y os cruzáis con ella)…",3,Hace 3 meses
76,Guillermo Arboleda,"¡Una experiencia de entrenamiento única! Las instalaciones son de primera, todo está impecable y el ambiente es increíble. Los entrenadores son amables y altamente profesionales, ¡hacen que cada sesión valga la pena! Definitivamente, regresaré. Jackie Hoyos, una profesional excepcional.",5,Hace un año
77,José María Collado Uribe,El entrenador Quimi me hizo el tour nada más llegar y fue muy detallado. Excelente atención y amabilidad,5,Hace un mes
78,DARIO ALEJANDRO VIERA ALVAREZ,"Excelente servicio y comodidad
El staff Majisimo, las maquinas totalmente variadas y modernas (no se quedan cortos de nada) y la gente que entrena allí muy maja también! Aparte he ido a las 15 y no había mucha gente, muy cómodo para entrenar. Recomendadisimo!",5,Fecha de edición: Hace 4 meses
79,Stephanie Ali Escalante,"100% recomendado y la atención al cliente es excelente, tuve el placer de tratar con Milagros en la sede de Centro Comercial Plaza Río 2 y ha sido muy amable, muchas gracias, un saludo.",5,Hace 3 meses
80,Carla León Sánchez,"Las instalaciones están bastante bien, y el ambiente fue tranquilo mientras estuve.
Personal muy amable.",5,Hace 2 meses
81,Litzy Vianet Flores,"La atención de jorge es excelente. La cadena me gusta mucho , vengo de Galicia y todos son geniales",5,Hace un mes
82,Ivan Sojo,Milagros es de las mejores comerciales que he conocido y con full energia. Mil gracias por tu llamada oportuna.,5,Hace un mes
83,Jesus SA,"La atención de Jorge es insuperable.

Tantas zonas se entrenó diferente es una gozada , muy recomendable este gym",5,Hace un mes
84,Jonathan Vegas,"Buena instalación, pero cada vez más inconvenientes

Llevo más de dos años en Fitness Park Plaza Río 2, desde su apertura, y siempre…",1,Hace 9 meses
85,manuel echavarri,"Muy buen gym, con máquinas muy actualizadas y con diferentes zonas para cada grupo de músculos. Además la atención de Milagros es increíble, súper amable y siempre dispuesta a ayudar.",5,Fecha de edición: Hace 3 semanas
86,Carlos G,Un excelente gimnasio tiene buenas máquinas y la atención súper que buena. 😎…,5,Hace 2 semanas
87,Cristian Quiroga muñoz,"Milagros me atendió súper chevere, muy agradable, explica muy bien todo al detalle",5,Hace un mes
88,Alexandra Saenz,"Excelente, la atención de Milagros la chica de la recepción fue muy clara y me ayudó un montón con la información. 🤗…",5,Hace 2 meses
89,Erika Rochas Alonso,"La atención  ha sido súper, la zona hummer es muy top y Jorge me ha explicado todo súper bien",5,Hace 2 meses
90,Fabi Guth,"Un gimnasio excelente, con muy buenas instalaciones y un ambiente motivador. La atención fue de 10, Milagros, quién me atendió, fue súper amable, profesional y atenta en todo momento. ¡Muy recomendable!",5,Hace 5 meses
91,Alba Díaz,"Muy recomendable fitness park! Me ha atendido Jorge, super majo, y me ha enseñado todas las instalaciones. Está todo nuevo, hay muchos tipos de maquinaria (racks para sentadillas!!!). La verdad que venía de un basic fit, y nada que ver 👌…",5,Hace 5 meses
92,Jingyi Ye,"Muy buen gimnasio la verdad, los empleados muy atentos. Solo una cosa, le comenté a una trabajadora para dar de baja con permanencia porque ya no estoy en madrid. Me dijo que conque envíe un correo con todas las pruebas de que no estoy en…",5,Hace 6 meses
93,Víctor Sánchez Rañó,"Es personal es muy agradable , Jorge me atendió muy bien. El Gym está muy bien hummer y eleiko top",5,Hace un mes
94,arturo travnichak,Milagros la verdad que es la argentina mas potente que trabaja en este gimnasio. Ojalá mas trabajadoras asi. ❤️❤️❤️❤️❤️,5,Hace 2 semanas
95,Loranny James,"Muy buen gimnasio, si eres principiante te lo recomiendo. Me atendió Quimi, fue muy amable y me explicó todo muy bien.Muy recomendado,gracias",5,Hace 3 meses
96,Gracia del Castillo Montull,"Hemos ido a apuntarnos mi pareja y yo y nos ha atendido Jorge Santos.  La verdad que es un gustazo cuando a la gente le gusta su trabajo; nos ha enseñado todo el gimnasio, cómo podemos usar las diferentes máquinas y a las zonas a las que…",5,Fecha de edición: Hace 5 meses
97,Camila Carhuavilca,"el personal muy atento y simpático , Gracias milagros por ayudarme a mis dudas y por la información ✨✨",5,Hace 2 meses
98,Yessica Zelaya,"Me parece un gimnasio bastante completo, estoy muy contenta!! Fui atendida por Lucio  muy amable me explicó detalladamente cada cosa!
Muchas gracias!",5,Hace 3 meses
99,iker mora,"Gimnasio muy completo y muy bien, la zona de calistenia de mis favoritas y fui atendido en mi primera vez por Jorge y fue muy majo y me aconsejó en todo de manera muy bien.",5,Hace 3 meses
100,Dario MN,"El gimnasio en general está muy bien y estoy bastante contento. Una de las cosas que más valoro es la limpieza, ya que siempre que voy está todo bastante limpio, lo cual agradezco mucho. El equipo de limpieza trabaja a conciencia y se nota…",5,Hace 9 meses
101,Abraham De la Cruz,"Creo que para el buen gimnasio que es se le debe dar el respeto que se merece, pero creo que los encargados deberían tomar muy en cuenta que todos tienen derecho de entrenar, todo el mundo se molesta cuando le preguntan por la máquina y…",1,Hace 5 meses
102,Diego Lopez,Excelente atención de las personas que trabajan aquí en especial la chica que estaba ayer al medio día fue excelente !!!!!,5,Hace 9 meses
103,Daniela Arango Sánchez,Buen gimnasio como todos los de la franquicia. Me atendió Milagros y sin duda motiva a apuntarte desde el minuto uno. Una comodidad en cuanto a horario y material inmejorable.,5,Hace 5 meses
104,Federico Alabern,"Un clásico de Fitness Park, no solo tienes que avisarle al personal tres veces/tres semanas que pongan un cartel avisando que las máquinas están rotas, sino que ya ha pasado mes y medio y siguen sin arreglarlas. Se entendería si fuera un…",1,Hace un año
105,Sara Powell,"Estoy encantada con el gym, Quimi ha sido muy amable enseñándome todas las instalaciones, resolviendo todas mis dudas y acto seguido me he apuntado!",5,Hace 3 meses
106,FERZESAL,Quimi nos ha enseñado a la perfección todas las instalaciones y sus respectivos funcionamientos. Además de transmitir la pasión de ejercitarse y tener una vida saludable.,5,Hace 4 meses
