id,name,comment,rating,review_date
1,Rosalía Val,"Fui con un amigo y la verdad es que el gimnasio está genial. Es súper grande, con muchísimas máquinas, sobre todo de cardio. Todo está muy bien distribuido. Además, tiene una terraza en la parte de arriba que es enorme y muy guay, donde también puedes entrenar al aire libre. En general, un gimnasio amplio, bien equipado y bastante chulo. Muy buena experiencia!",4,Hace 6 meses
2,Vero MC,"La comida estaba riquísima, muy bien cocina y todo al momento. No dejéis de probar el Pad thai.
El local es pequeño aunque luego vimos que tenía una planta baja.
De precio, pues no es barato la verdad.
El servicio agradable.
Hay un parking muy cerca",5,Hace 3 meses
3,Diego Lázaro,"He probado muchos gimnasios tanto en Madrid como Barcelona y debo decir que este es uno de los mejores, sino el mejor.

Tienes absolutamente de todo, es un gimnasio muy grande y aunque haya mucha gente, la verdad que no se nota demasiado.

Muy bien organizado y estructurado, diferentes espacios, en función de lo que quieras

De lo que no puedo hablar es de los monitores, ya que siempre fui a entrenar por libre. Pero da la sensación de que hay buen ambiente.",5,Hace 2 meses
4,Nnn,"Es caro (muy caro) pero al menos pagas unas calidades. Las máquinas son espectaculares (a especial mención de la zona de glúteo nueva), todo está limpio, y se respira ambiente de entreno. Se paga con gusto cuando recibes un gimnasio como este.",5,Hace 3 semanas
5,Juankr Sansal,"Club difícil de encontrar. Si vas en coche, solamente lo puedes dejar en el aparcamiento de la estación de Chamartin con el COSTE AÑADIDO (7,40€ dos horas) que ello conlleva. No aparece indicación alguna del club e incluso dentro del club NO hay indicaciones para llevarte a las pistas. Son de muro, sin cubierta y en lo alto del edificio. Hay fuente de agua y duchas exteriores.
No recomendable por el gasto del parking",1,Fecha de edición: Hace un mes
6,El Club de Los Panas,"El gimnasio es súper completo , buenas máquinas y raro es que tengas que compartir, zona de cardio enorme y muchas clases colectivas con profesores de nivel
La azotea tiene máquinas para entrenar viendo Madrid y solárium y si un día el gym contase con piscina descubierta para socios sería simplemente perfecto.",5,Hace 3 meses
7,Jose Antonio Garcia,"YOOFIT BOUTIQUE GYM EXPERIENCE. CHAMARTIN. MADRID. Un Nombre y Concepto que agrupa en sus 8300 mts2 y capacidad de 600 personas en busca de la conquista de más Salud, Inversión del Tiempo Libre y Atención Profesional. Estos Tres Concepto se reparten en Zonas de Cardíos, Pesos Libres, Pista de Squash y Pádel, SPA, Solárium, Pulse Fullboxing, Fullpilates, zona Wellness, CrossFit, Entrenamiento TRX, Indoor Cycling, Salón de Belleza y Barbería con Estilistas y Cafetería. Este Macroclubs Deportivo conjuga en todas sus áreas Luces y una Decoración Modernista y Tecnológica para la Relajación y Tranquilidad Espiritual para tu Labor Deportiva. Hay Parqueo y Entrada a Minusvalidos. La Atención es muy Profesional del Equipo Técnico y Empleados",5,Hace 4 años
8,Iván Gonzalo Martínez,"Compendio de diferentes espacios de entrenamiento, para los que sacarles el mejor partido, recomiendo el poder contar con el asesoramiento del equipo de entrenadores personales que tienen.
Ambiente muy variado, con espacios interiores y exteriores.
Recomendable.",5,Hace 3 años
9,Osliany Gomez,"Excelente gym boutique donde encuentras todo lo que buscas. Tienes salas especializadas en cardio individuales al igual que las de piernas, pesas. Cuentas con peluquería, salón de yoga, spa y mucho más. De los mejores de Madrid.",5,Hace 3 años
10,JOSE SUAREZ ALVAREZ,"Un gran centro deportivo en la estación de Chamartin que cuenta con muy buena comunicación y aparcamiento, una gran instalación que cuenta con la última tecnología en maquinaria y diferentes boutiques que es lo que marca la diferencia. Crossfit, yoga, ciclo, boxeo, flamenco,etc. Instalaciones y trato de 10.",5,Hace 3 años
11,LA LOLA,"Esta reseña es solamente desde mi experiencia, en concreto las pistas de pádel del ático. El estado es lamentable: la moqueta no llega a la pared, tiene bultos y unas arrugas exageradas ( adjunto fotografías) , impracticable el pádel en estas pistas. Como he dicho, es una opinión muy sesgada y en un ámbito particular, el resto de las instalaciones, al menos en el recorrido hacia las pistas , tienen muy buena pinta, pero mi experiencia particular ha sido muy mala",2,Hace 2 años
12,Daniel clavero,"Gimnasio espectacular con muy buenas instalaciones, los coach te ayudan en lo que necesites, especialmente Álvaro, que cuando empecé le pedí que me hiciera una rutina y enseñara hacer los ejercicios, y desde entonces siempre me pregunta si necesito ayuda con algo, también he visto que se preocupa bastante por la salud de los clientes, no es el típico que te saluda y listo. Es muy profesional y se nota que le gusta lo que hace.",5,Hace 8 meses
13,Mónica Teran,"Bueno el sitio muy bien ubicado, existe una promoción hay que dejar el coche en el aparcamiento 2 y son 2 euros por dos horas, Gisela bellísima y encantadora todo bien, lo que no me gusto fue que para mi gusto Le faltó un poquito de límpieza espero que en mi próxima visita Le. Pueda poner un 5 estrellas",4,Hace 6 años
14,Javier Achútegui,"Genial la clase de YooPower con Álvaro. Perfecto equilibrio entre ejercicio aeróbico, de fuerza y de resistencia de alta intensidad. Y son clases muy divertidas llenas de buen rollo. Sería ideal contar con un espacio mayor, teniendo en cuenta el éxito que tiene.",5,Hace 6 meses
15,Lara Santos Torres,"Fui a una clase de spining solidaria que organizó la fundación 8 tumbao, de Clara Lago y Dani Rovira. El gimnasio es muy grande, nuevo, con muchas instalaciones(peluquerías, tiendas de complementos de nutrición, etc). Me tuvieron que acompañar a los vestuarios porque es tan grande que te pierdes",5,Hace 2 años
16,Marin Krasenov,"Muy buen ambiente , excelente entrenadores y buena experiencia en cada entreno",5,Hace un mes
17,Karen lopez,"Todo el equipo de Yoofit de 10"" los monitores, la recepcionista de la mañana todos y un 11"" para Álvaro, sus clases son geniales, se nota cuando la gente hace lo que le gusta.",5,Hace 4 meses
18,Diana Uña,"Muy bien, es un gimnasio enorme, tienes de todo, los monitores son muy agradables y  todos están dispuestos a echarte una mano.",5,Hace 2 años
19,Andrés González,"Un gimnasio TOP . Muy muy recomendable, instalaciones muy cuidadas.",5,Hace un mes
20,Madalina Ciotir,"Muy buen gimnasio. Las instalaciones están limpias, bien cuidadas y con todo el equipamiento necesario tanto para fuerza como para cardio. Hay buen ambiente, no está excesivamente lleno y el personal es amable y profesional. Se nota que hay organización y que se preocupan por mantenerlo en buen estado. Muy buena opción si buscas un sitio serio para entrenar a gusto.",5,Fecha de edición: Hace 6 meses
21,Alejandro Ortiz,"El gimnasio es impresionante, muy grande y equipado con muchas disciplinas. Particularmente asistí a un par de clases de padel y el instructor fue muy amable. Las pistas aunque se ve que tienen mucho tiempo están muy conservadas para estar en el techo.",4,Hace un año
